ema12,ema26,rsi14,adx14,atr14,macd,macd_signal,macd_hist,timestamp
0.21268683581470113,0.2107667942431833,34.347792874998646,38.39365511285266,0.0035135714285714293,0.0019200415715178443,0.0027455965633679693,-0.0008255549918501251,2025-05-11 06:00:00
0.21148270722782403,0.21032925392887342,24.19633370639059,43.438240562756846,0.003641428571428571,0.001153453298950613,0.002427167910484498,-0.0012737146115338852,2025-05-11 07:00:00
0.21050229073123572,0.20994264252673464,25.64040960843056,47.81021461934047,0.003578571428571427,0.0005596482045010787,0.0020536639692878144,-0.0014940157647867357,2025-05-11 08:00:00
0.2100234767725841,0.20975355789512468,38.057772508458164,48.73366623655786,0.0035714285714285704,0.00026991887745941856,0.0016969149509221352,-0.0014269960734627166,2025-05-11 09:00:00
0.20982909573064806,0.20967996101400432,44.48516823644607,49.5339909714796,0.003578571428571427,0.00014913471664373956,0.0013873589040664562,-0.0012382241874227167,2025-05-11 10:00:00
0.209666157925933,0.20961255649444846,44.53364182946941,50.2276057417451,0.0034578571428571414,5.3601431484529005e-05,0.0011206074095500707,-0.0010670059780655417,2025-05-11 11:00:00
0.20949444132194328,0.2095338486059708,43.567960136203936,50.82873854264187,0.0033392857142857113,-3.940728402751503e-05,0.0008886044708345536,-0.0009280117548620686,2025-05-11 12:00:00
0.20875221958010584,0.20917356352404703,30.228903164992346,53.56372301130115,0.0034757142857142842,-0.0004213439439411937,0.0006266147878794042,-0.001047958731820598,2025-05-11 13:00:00
0.20821803195239724,0.20888515141115466,33.90007636836461,55.93404288413919,0.0030064285714285705,-0.0006671194587574147,0.0003678679385520404,-0.001034987397309455,2025-05-11 14:00:00
0.20755987319048996,0.20851884389921727,29.910912661847306,59.04824617756,0.00302142857142857,-0.0009589707087273025,0.00010250020909617183,-0.0010614709178234742,2025-05-11 15:00:00
0.2067660465457992,0.20806559620297893,25.873523703635826,61.74722236519138,0.003032142857142856,-0.0012995496571797382,-0.00017790976415901018,-0.0011216398930207281,2025-05-11 16:00:00
0.20626357784644547,0.20772740389164715,33.29436771058535,64.08633506113857,0.003013571428571429,-0.0014638260452016771,-0.0004350930203675436,-0.0010287330248341334,2025-05-11 17:00:00
0.2062491812546846,0.20761204064041403,47.90167564854878,59.51407188751511,0.0031857142857142856,-0.0013628593857294147,-0.0006206462934399179,-0.0007422130922894968,2025-05-11 18:00:00
0.20604623029242544,0.20741337096334633,42.87096571736709,55.5514438037081,0.0031542857142857167,-0.001367140670920891,-0.0007699451689361126,-0.0005971955019847785,2025-05-11 19:00:00
0.20598527178589845,0.20728275089198733,46.62642923785987,52.117166131075365,0.0029264285714285737,-0.001297479106088878,-0.0008754519563666657,-0.0004220271497222122,2025-05-11 20:00:00
0.20608446074191408,0.20723439897406234,51.621071590745075,46.469366359927825,0.002642857142857145,-0.001149938232148262,-0.000930349211522985,-0.00021958902062527705,2025-05-11 21:00:00
0.20599915908931193,0.20710814719820586,46.04102715858319,43.25136817484132,0.0026614285714285746,-0.0011089881088939268,-0.0009660769909971735,-0.00014291111789675336,2025-05-11 22:00:00
0.2061315961524947,0.20708976592426467,53.11200061009363,40.462436414433014,0.0025507142857142872,-0.0009581697717699622,-0.0009644955471517314,6.3257753817691584e-06,2025-05-11 23:00:00
0.20669904289826477,0.20729200548543025,64.91769689040581,38.373524648510234,0.0026235714285714313,-0.0005929625871654853,-0.0008901889551544822,0.00029722636798899685,2025-05-12 00:00:00
0.2066622670677625,0.20723037544947245,48.8183440053958,33.59848852081864,0.0029664285714285743,-0.000568108381709953,-0.0008257728404655764,0.00025766445875562334,2025-05-12 01:00:00
0.2068157644419529,0.20726219949025226,53.56393794151694,29.46012387681926,0.0030200000000000027,-0.00044643504829935954,-0.0007499052820323331,0.00030347023373297353,2025-05-12 02:00:00
0.20716103145088324,0.20739536989838173,58.71675542582869,26.437475459170162,0.002892142857142859,-0.00023433844749848332,-0.0006467919151255631,0.00041245346762707976,2025-05-12 03:00:00
0.20764548815074735,0.20761126842442754,62.95204843280892,23.817846830540944,0.0029828571428571443,3.421972631981185e-05,-0.0005105895868364881,0.0005448093131563,2025-05-12 04:00:00
0.20773541305063237,0.20765710039298846,52.59262240184362,23.32233317081634,0.0029607142857142866,7.83126576439086e-05,-0.0003928091379404088,0.0004711217955843174,2025-05-12 05:00:00
0.20834688796591969,0.20795731517869304,64.02208147895975,20.438604113434685,0.003002142857142858,0.0003895727872266497,-0.00023633275290699715,0.0006259055401336469,2025-05-12 06:00:00
0.20927352058654744,0.20843232886916022,70.33073686352236,24.18389771690203,0.0032785714285714284,0.0008411917173872241,-2.0827858848152897e-05,0.000862019576235377,2025-05-12 07:00:00
